id,claim_type,policy_category,city,city_region,estimated_amount_pkr,description_length,days_incident_to_submit,amount_to_premium_ratio,user_claims_7d,user_claims_30d,user_rejected_claims,status,high_risk
0,theft,home,mardan,kpk,22976,45,6,2.1857,1,1,0,rejected,1
1,other,home,sukkur,sindh,110934,53,26,13.8408,0,2,1,approved,0
2,damage,pet,sialkot,punjab,27499,64,6,2.593,2,6,0,approved,0
3,pet,home,karachi,sindh,58162,64,39,14.2484,1,6,0,rejected,1
4,theft,auto,islamabad,islamabad,25884,56,23,5.3824,0,1,0,approved,0
5,damage,others,mardan,kpk,15717,53,40,1.6508,1,7,1,approved,1
6,accident,life,karachi,sindh,52454,58,13,5.106,0,5,0,in_review,0
7,pet,others,gujranwala,punjab,27852,53,23,1.3484,4,5,0,approved,1
8,theft,auto,abbottabad,kpk,79255,61,4,11.7554,0,3,0,approved,0
9,theft,others,quetta,balochistan,68085,61,18,6.647,0,0,2,in_review,0
10,damage,others,faisalabad,punjab,15337,53,38,0.6975,0,6,0,approved,1
11,life,home,faisalabad,punjab,26490,45,36,1.9778,0,3,1,rejected,1
12,life,others,rawalpindi,punjab,40481,53,13,3.9746,1,4,3,in_review,0
13,pet,pet,faisalabad,punjab,19107,53,37,1.9856,1,1,0,approved,1
14,accident,life,faisalabad,punjab,10699,56,13,0.5831,1,5,0,rejected,1
15,auto,auto,faisalabad,punjab,53111,58,26,11.3582,2,2,0,approved,1
16,home,home,multan,punjab,15253,56,27,1.961,0,1,1,approved,0
17,pet,home,lahore,punjab,69270,58,31,3.029,0,3,2,rejected,1
18,auto,life,quetta,balochistan,12175,58,35,0.742,0,2,0,approved,1
19,pet,home,mardan,kpk,7014,56,32,0.5956,0,4,0,rejected,0
20,theft,auto,karachi,sindh,177090,64,37,32.6253,1,4,0,in_review,1
21,medical,life,multan,punjab,22245,58,19,2.1802,0,6,2,approved,0
22,other,home,faisalabad,punjab,19876,45,22,1.0397,2,4,0,submitted,0
23,pet_care,others,quetta,balochistan,41545,44,35,1.8119,3,3,2,rejected,1
24,theft,others,rawalpindi,punjab,23697,53,21,2.2733,1,7,0,submitted,0
25,accident,home,abbottabad,kpk,27020,56,16,1.7569,1,5,1,approved,0
26,damage,others,lahore,punjab,42173,64,8,3.1014,0,6,3,approved,0
27,medical,auto,abbottabad,kpk,21735,56,26,4.4649,3,4,1,rejected,1
28,accident,auto,mardan,kpk,76201,53,42,6.1527,0,6,1,submitted,1
29,life,auto,multan,punjab,9962,53,14,0.6007,0,1,0,in_review,0
30,pet_care,life,abbottabad,kpk,91147,44,7,5.0103,0,2,0,submitted,0
31,home,pet,peshawar,kpk,29565,53,34,1.6193,0,0,2,in_review,1
32,theft,life,sukkur,sindh,53232,44,44,4.5756,1,2,0,submitted,1
33,damage,others,peshawar,kpk,15181,44,19,1.3362,0,6,0,in_review,0
34,life,auto,sukkur,sindh,105653,64,18,6.2131,0,6,0,in_review,0
35,medical,auto,lahore,punjab,17144,58,4,5.6881,0,5,0,submitted,0
36,medical,auto,abbottabad,kpk,57912,53,27,2.4098,0,5,0,approved,0
