id,signal_type,fraud_category,severity,severity_encoded,account_age_days,related_entity_count,fraudulent
0,other,commerce,critical,4,667,2,0
1,unverified_provider,account,low,1,520,7,1
2,pending_purchases,catalog,medium,2,93,18,1
3,other,account,low,1,591,19,1
4,duplicate_email,claims,medium,2,297,14,1
5,claim_burst,account,medium,2,106,19,1
6,claim_burst,claims,low,1,578,2,1
7,stale_pending_policies,catalog,critical,4,796,11,1
8,pending_purchases,catalog,medium,2,814,6,0
9,unverified_provider,claims,high,3,538,16,1
10,rejected_claims_volume,catalog,low,1,121,17,1
11,inactive_spike,commerce,critical,4,432,2,1
12,lead_spike,account,high,3,349,23,1
13,stale_pending_policies,catalog,critical,4,71,27,1
14,pending_purchases,commerce,low,1,63,24,1
15,claim_burst,catalog,critical,4,685,12,0
16,rejected_claims_volume,catalog,low,1,506,2,0
17,unverified_provider,commerce,medium,2,408,13,1
18,unverified_provider,catalog,critical,4,412,18,1
19,stale_pending_policies,claims,high,3,724,14,1
20,other,catalog,medium,2,85,6,0
21,duplicate_email,claims,medium,2,270,10,0
22,stale_pending_policies,catalog,high,3,129,23,1
23,inactive_spike,account,critical,4,408,13,1
24,stale_pending_policies,catalog,low,1,196,3,0
25,inactive_spike,catalog,high,3,616,2,1
26,rejected_claims_volume,claims,high,3,629,1,0
27,rejected_claims_volume,claims,medium,2,650,9,0
28,pending_purchases,commerce,low,1,870,16,1
29,lead_spike,catalog,high,3,88,5,1
30,lead_spike,commerce,critical,4,849,23,1
31,unverified_provider,account,high,3,151,23,1
32,lead_spike,account,high,3,659,28,1
33,pending_purchases,commerce,medium,2,365,25,1
34,lead_spike,commerce,medium,2,826,8,1
35,inactive_spike,claims,critical,4,365,24,0
36,lead_spike,account,critical,4,266,7,1
37,pending_purchases,commerce,high,3,374,3,1
38,rejected_claims_volume,claims,high,3,210,16,1
39,inactive_spike,account,high,3,819,21,1
40,reject_rate,account,medium,2,490,29,1
41,unverified_provider,commerce,critical,4,475,13,1
42,pending_purchases,account,medium,2,131,1,0
43,reject_rate,catalog,medium,2,627,27,1
44,stale_pending_policies,catalog,high,3,160,18,1
45,duplicate_email,account,low,1,540,24,1
46,other,catalog,medium,2,846,28,1
47,inactive_spike,commerce,medium,2,783,19,1
48,reject_rate,catalog,low,1,758,12,1
49,reject_rate,catalog,medium,2,545,5,0
50,stale_pending_policies,account,medium,2,624,1,0
51,inactive_spike,claims,critical,4,634,24,1
52,unverified_provider,account,critical,4,804,25,1
53,unverified_provider,account,high,3,44,25,1
54,stale_pending_policies,catalog,low,1,454,11,0
55,pending_purchases,claims,critical,4,521,18,1
56,pending_purchases,claims,high,3,573,29,1
57,unverified_provider,catalog,low,1,402,15,1
58,claim_burst,claims,medium,2,686,10,1
59,other,claims,high,3,147,9,1
60,claim_burst,catalog,low,1,408,29,1
61,inactive_spike,claims,critical,4,528,13,1
62,claim_burst,claims,low,1,740,12,0
63,lead_spike,catalog,low,1,394,11,1
64,pending_purchases,commerce,low,1,116,30,1
65,duplicate_email,account,high,3,41,29,1
66,lead_spike,commerce,critical,4,870,30,1
67,pending_purchases,commerce,critical,4,718,11,1
68,lead_spike,account,medium,2,436,29,0
69,rejected_claims_volume,account,high,3,86,20,1
70,unverified_provider,account,low,1,465,1,0
71,reject_rate,catalog,high,3,637,5,0
72,other,claims,medium,2,269,2,0
73,lead_spike,commerce,medium,2,297,15,1
74,claim_burst,claims,low,1,257,2,0
75,rejected_claims_volume,claims,medium,2,458,4,0
76,stale_pending_policies,catalog,critical,4,519,10,1
77,claim_burst,claims,medium,2,415,12,1
78,duplicate_email,claims,high,3,442,6,0
79,reject_rate,catalog,high,3,614,8,1
80,inactive_spike,account,medium,2,276,15,0
81,other,commerce,high,3,251,2,1
82,claim_burst,commerce,medium,2,2,11,1
83,claim_burst,catalog,medium,2,255,17,1
84,unverified_provider,account,low,1,148,13,1
85,duplicate_email,catalog,high,3,645,8,1
86,pending_purchases,claims,critical,4,783,11,1
87,inactive_spike,catalog,medium,2,45,27,1
88,reject_rate,catalog,medium,2,537,25,1
89,stale_pending_policies,account,medium,2,88,1,1
90,other,commerce,critical,4,856,15,1
91,rejected_claims_volume,account,medium,2,502,9,1
92,pending_purchases,account,low,1,676,17,0
93,claim_burst,catalog,low,1,867,9,1
94,claim_burst,claims,critical,4,506,28,1
95,reject_rate,catalog,high,3,786,2,1
96,unverified_provider,claims,medium,2,340,9,0
97,lead_spike,commerce,medium,2,13,16,0
98,other,commerce,low,1,709,7,0
99,lead_spike,commerce,high,3,476,15,1
100,other,account,medium,2,320,3,0
101,unverified_provider,account,low,1,840,17,1
102,other,catalog,critical,4,215,30,1
103,unverified_provider,claims,low,1,146,24,1
104,unverified_provider,commerce,high,3,116,23,1
105,reject_rate,catalog,critical,4,404,1,1
106,stale_pending_policies,catalog,critical,4,310,24,1
107,pending_purchases,commerce,low,1,861,11,1
108,stale_pending_policies,commerce,low,1,201,23,0
109,claim_burst,commerce,low,1,403,13,1
110,unverified_provider,account,critical,4,774,9,1
111,unverified_provider,commerce,high,3,651,30,1
112,pending_purchases,commerce,high,3,195,25,1
113,reject_rate,catalog,critical,4,897,18,1
114,duplicate_email,account,critical,4,462,20,1
115,pending_purchases,commerce,medium,2,175,16,1
116,rejected_claims_volume,commerce,high,3,416,21,1
117,stale_pending_policies,catalog,critical,4,123,6,1
118,unverified_provider,account,critical,4,564,8,1
119,other,commerce,critical,4,438,5,1
120,unverified_provider,claims,high,3,570,3,1
121,claim_burst,commerce,medium,2,21,24,1
122,pending_purchases,catalog,medium,2,386,9,0
123,inactive_spike,account,high,3,129,22,1
124,unverified_provider,claims,medium,2,394,13,1
125,other,catalog,low,1,131,2,0
126,other,catalog,critical,4,1,3,1
127,other,catalog,medium,2,802,4,0
128,rejected_claims_volume,claims,low,1,846,24,1
129,unverified_provider,catalog,low,1,2,26,1
130,rejected_claims_volume,account,high,3,132,21,1
131,stale_pending_policies,catalog,low,1,102,3,0
132,claim_burst,claims,medium,2,810,20,0
133,other,commerce,high,3,324,21,1
134,rejected_claims_volume,claims,medium,2,561,8,1
135,stale_pending_policies,catalog,high,3,57,1,1
136,unverified_provider,catalog,medium,2,684,14,1
137,rejected_claims_volume,claims,high,3,736,14,1
138,inactive_spike,catalog,high,3,757,28,1
139,rejected_claims_volume,claims,medium,2,320,25,1
140,rejected_claims_volume,claims,high,3,779,29,1
141,stale_pending_policies,catalog,medium,2,497,14,1
142,other,account,medium,2,403,2,0
143,claim_burst,claims,low,1,189,13,1
144,lead_spike,commerce,low,1,170,11,1
145,duplicate_email,catalog,critical,4,860,12,1
146,inactive_spike,catalog,low,1,81,9,0
147,other,catalog,low,1,575,25,1
148,lead_spike,commerce,high,3,842,26,1
149,pending_purchases,account,medium,2,382,18,1
150,claim_burst,claims,critical,4,32,21,1
151,duplicate_email,catalog,low,1,476,3,1
152,unverified_provider,account,low,1,621,11,0
153,other,commerce,low,1,269,24,1
154,reject_rate,commerce,high,3,4,24,1
155,duplicate_email,account,medium,2,110,16,1
156,other,catalog,critical,4,809,9,1
157,unverified_provider,catalog,critical,4,188,1,1
158,stale_pending_policies,commerce,medium,2,622,8,0
159,pending_purchases,commerce,low,1,525,7,0
160,claim_burst,claims,low,1,666,2,1
161,inactive_spike,commerce,critical,4,108,3,1
162,unverified_provider,account,critical,4,511,23,1
163,claim_burst,claims,critical,4,472,20,1
164,lead_spike,claims,low,1,799,27,1
165,pending_purchases,commerce,high,3,261,24,1
166,claim_burst,catalog,medium,2,242,5,1
167,claim_burst,claims,critical,4,258,8,1
168,pending_purchases,claims,low,1,670,15,1
169,duplicate_email,account,medium,2,861,15,1
170,reject_rate,account,medium,2,123,2,0
171,other,claims,high,3,525,28,1
172,lead_spike,commerce,low,1,109,21,1
173,claim_burst,commerce,high,3,349,5,0
174,duplicate_email,commerce,medium,2,835,1,1
175,stale_pending_policies,catalog,medium,2,636,10,1
176,lead_spike,account,critical,4,65,14,1
177,stale_pending_policies,catalog,medium,2,655,18,1
178,claim_burst,claims,high,3,420,10,1
179,other,catalog,high,3,764,19,1
180,pending_purchases,catalog,high,3,660,7,1
181,inactive_spike,catalog,low,1,445,29,1
182,stale_pending_policies,account,critical,4,592,29,1
183,unverified_provider,claims,low,1,565,5,0
184,unverified_provider,catalog,high,3,755,17,1
185,claim_burst,commerce,medium,2,69,4,1
186,claim_burst,claims,low,1,495,11,0
187,unverified_provider,catalog,medium,2,656,26,1
188,stale_pending_policies,catalog,medium,2,850,16,1
189,duplicate_email,claims,medium,2,393,12,1
190,other,claims,medium,2,43,29,1
191,rejected_claims_volume,account,high,3,121,13,1
192,lead_spike,commerce,high,3,597,8,1
193,pending_purchases,commerce,critical,4,184,1,0
194,lead_spike,catalog,critical,4,782,20,1
195,reject_rate,catalog,critical,4,410,4,0
196,pending_purchases,commerce,low,1,822,15,1
197,duplicate_email,account,medium,2,85,30,1
198,duplicate_email,account,critical,4,669,26,1
199,other,account,low,1,199,5,0
200,rejected_claims_volume,catalog,medium,2,703,26,1
201,duplicate_email,claims,high,3,626,25,1
202,reject_rate,commerce,high,3,836,15,1
203,inactive_spike,catalog,high,3,631,17,1
204,duplicate_email,commerce,medium,2,414,6,1
205,lead_spike,commerce,critical,4,173,26,1
206,lead_spike,account,low,1,652,28,1
207,stale_pending_policies,catalog,low,1,259,18,1
208,reject_rate,catalog,high,3,272,13,1
209,claim_burst,claims,low,1,453,8,1
210,unverified_provider,account,high,3,318,21,1
211,lead_spike,commerce,low,1,227,5,1
212,pending_purchases,catalog,high,3,49,5,1
213,duplicate_email,account,low,1,581,12,1
214,pending_purchases,commerce,critical,4,598,10,1
215,claim_burst,claims,critical,4,163,5,0
216,pending_purchases,claims,critical,4,99,3,1
217,pending_purchases,commerce,high,3,12,2,1
218,lead_spike,commerce,critical,4,617,30,1
219,claim_burst,catalog,low,1,46,2,1
220,inactive_spike,catalog,medium,2,60,30,1
221,claim_burst,account,medium,2,146,14,1
222,reject_rate,catalog,medium,2,521,10,1
223,other,account,critical,4,733,18,0
224,reject_rate,catalog,critical,4,83,24,1
225,claim_burst,claims,low,1,268,8,1
226,unverified_provider,account,high,3,729,2,1
227,stale_pending_policies,catalog,high,3,303,21,1
228,unverified_provider,claims,low,1,174,9,0
229,other,claims,high,3,197,29,1
230,claim_burst,claims,critical,4,484,27,1
231,stale_pending_policies,account,critical,4,743,8,1
232,stale_pending_policies,commerce,critical,4,638,19,0
233,inactive_spike,claims,low,1,115,4,0
234,claim_burst,claims,medium,2,718,1,0
235,pending_purchases,claims,low,1,714,3,0
236,stale_pending_policies,account,high,3,205,27,1
237,reject_rate,account,critical,4,110,8,1
238,duplicate_email,account,low,1,845,25,1
239,pending_purchases,commerce,medium,2,101,26,1
240,claim_burst,claims,high,3,434,9,0
241,other,commerce,low,1,733,25,1
242,lead_spike,commerce,critical,4,872,10,1
243,lead_spike,account,low,1,447,17,1
244,pending_purchases,commerce,low,1,551,19,1
245,claim_burst,account,high,3,175,14,0
246,claim_burst,claims,low,1,5,12,1
247,stale_pending_policies,catalog,medium,2,507,19,1
248,lead_spike,commerce,medium,2,291,27,1
249,rejected_claims_volume,claims,low,1,652,25,1
250,rejected_claims_volume,account,high,3,98,13,1
251,inactive_spike,account,low,1,381,7,0
252,reject_rate,catalog,medium,2,389,29,1
253,unverified_provider,catalog,low,1,357,19,1
254,reject_rate,claims,critical,4,678,18,1
255,rejected_claims_volume,claims,high,3,594,8,1
256,stale_pending_policies,catalog,medium,2,520,7,0
257,lead_spike,claims,medium,2,741,11,1
258,inactive_spike,commerce,high,3,194,9,1
259,duplicate_email,account,low,1,201,13,1
260,stale_pending_policies,claims,high,3,446,9,1
261,unverified_provider,account,critical,4,476,2,0
262,stale_pending_policies,catalog,high,3,475,1,1
263,duplicate_email,catalog,medium,2,874,14,1
264,reject_rate,catalog,medium,2,696,6,0
265,lead_spike,catalog,high,3,644,23,1
266,claim_burst,catalog,critical,4,731,23,1
267,stale_pending_policies,commerce,critical,4,467,1,1
268,stale_pending_policies,catalog,medium,2,671,11,0
269,reject_rate,catalog,low,1,40,9,0
270,lead_spike,claims,medium,2,532,12,1
271,stale_pending_policies,catalog,critical,4,525,1,1
272,pending_purchases,commerce,critical,4,760,15,1
273,claim_burst,claims,low,1,747,20,1
274,unverified_provider,account,critical,4,410,2,0
275,reject_rate,catalog,high,3,595,9,1
276,lead_spike,commerce,medium,2,821,13,1
277,unverified_provider,claims,low,1,830,26,1
278,stale_pending_policies,catalog,medium,2,835,5,0
279,lead_spike,catalog,high,3,779,18,1
280,rejected_claims_volume,catalog,medium,2,274,23,1
281,other,commerce,medium,2,494,1,0
282,pending_purchases,commerce,high,3,329,16,1
283,rejected_claims_volume,account,high,3,157,30,1
284,duplicate_email,catalog,high,3,803,5,1
285,lead_spike,commerce,low,1,674,1,1
286,rejected_claims_volume,account,high,3,623,4,1
287,inactive_spike,claims,critical,4,355,26,1
288,reject_rate,catalog,medium,2,625,29,1
289,rejected_claims_volume,account,high,3,203,16,1
290,pending_purchases,account,critical,4,688,29,1
291,unverified_provider,account,medium,2,847,5,0
292,inactive_spike,account,medium,2,718,16,1
293,rejected_claims_volume,claims,low,1,165,27,1
294,stale_pending_policies,catalog,critical,4,384,14,1
295,duplicate_email,account,high,3,652,21,0
296,rejected_claims_volume,account,high,3,829,4,1
297,reject_rate,catalog,medium,2,35,7,0
298,claim_burst,claims,high,3,350,16,1
299,claim_burst,claims,high,3,433,9,1
300,rejected_claims_volume,commerce,critical,4,414,11,1
301,reject_rate,commerce,high,3,209,21,1
302,unverified_provider,account,high,3,731,10,1
303,lead_spike,account,low,1,409,24,1
304,stale_pending_policies,catalog,low,1,409,10,0
305,unverified_provider,account,critical,4,624,25,1
306,stale_pending_policies,catalog,low,1,218,2,0
307,stale_pending_policies,catalog,medium,2,104,22,1
308,inactive_spike,account,low,1,672,1,0
309,stale_pending_policies,claims,high,3,884,10,1
310,unverified_provider,account,critical,4,580,21,1
311,inactive_spike,account,low,1,845,4,0
312,stale_pending_policies,catalog,critical,4,458,3,0
313,stale_pending_policies,catalog,medium,2,487,25,1
