category,policy_slug,label,user_value_pkr,policy_premium_monthly_pkr,policy_feature_count,policy_deductible_pkr,premium_to_value_ratio,city_region,property_type,occupancy,vehicle_type,coverage_type,coverage_goal,age_band,pet_type,vaccination_status
home,tpl-home-essential,1,22113838.0,3500,5,25000,0.001804,punjab,Commercial unit,Rented out,,,,,,
home,jubilee-home-shield,0,22113838.0,5200,3,35000,0.002681,punjab,Commercial unit,Rented out,,,,,,
home,adamjee-home-plus,0,22113838.0,4800,3,30000,0.002474,punjab,Commercial unit,Rented out,,,,,,
home,jubilee-home-elite,0,22113838.0,9800,6,45000,0.005052,punjab,Commercial unit,Rented out,,,,,,
home,hbl-home-essential,0,22113838.0,3800,3,22000,0.001959,punjab,Commercial unit,Rented out,,,,,,
home,hbl-home-guard,0,22113838.0,5600,3,32000,0.002887,punjab,Commercial unit,Rented out,,,,,,
home,allianz-home-shield,0,22113838.0,5400,3,34000,0.002784,punjab,Commercial unit,Rented out,,,,,,
home,allianz-home-elite,0,22113838.0,9200,3,48000,0.004743,punjab,Commercial unit,Rented out,,,,,,
home,efu-home-plus,0,22113838.0,4600,3,28000,0.002371,punjab,Commercial unit,Rented out,,,,,,
home,efu-home-premium,0,22113838.0,8500,3,42000,0.004382,punjab,Commercial unit,Rented out,,,,,,
home,igi-home-basic,0,22113838.0,3200,3,20000,0.00165,punjab,Commercial unit,Rented out,,,,,,
home,igi-home-comprehensive,0,22113838.0,5900,3,33000,0.003042,punjab,Commercial unit,Rented out,,,,,,
home,tpl-home-essential,1,10427229.0,3500,5,25000,0.003827,sindh,Independent house,Owner occupied,,,,,,
home,jubilee-home-shield,0,10427229.0,5200,3,35000,0.005685,sindh,Independent house,Owner occupied,,,,,,
home,adamjee-home-plus,0,10427229.0,4800,3,30000,0.005248,sindh,Independent house,Owner occupied,,,,,,
home,jubilee-home-elite,0,10427229.0,9800,6,45000,0.010714,sindh,Independent house,Owner occupied,,,,,,
home,hbl-home-essential,0,10427229.0,3800,3,22000,0.004155,sindh,Independent house,Owner occupied,,,,,,
home,hbl-home-guard,0,10427229.0,5600,3,32000,0.006122,sindh,Independent house,Owner occupied,,,,,,
home,allianz-home-shield,0,10427229.0,5400,3,34000,0.005904,sindh,Independent house,Owner occupied,,,,,,
home,allianz-home-elite,0,10427229.0,9200,3,48000,0.010058,sindh,Independent house,Owner occupied,,,,,,
home,efu-home-plus,0,10427229.0,4600,3,28000,0.005029,sindh,Independent house,Owner occupied,,,,,,
home,efu-home-premium,0,10427229.0,8500,3,42000,0.009293,sindh,Independent house,Owner occupied,,,,,,
home,igi-home-basic,0,10427229.0,3200,3,20000,0.003499,sindh,Independent house,Owner occupied,,,,,,
home,igi-home-comprehensive,0,10427229.0,5900,3,33000,0.00645,sindh,Independent house,Owner occupied,,,,,,
home,tpl-home-essential,1,8693039.0,3500,5,25000,0.00459,punjab,Apartment,Vacant / under construction,,,,,,
home,jubilee-home-shield,0,8693039.0,5200,3,35000,0.006819,punjab,Apartment,Vacant / under construction,,,,,,
home,adamjee-home-plus,0,8693039.0,4800,3,30000,0.006295,punjab,Apartment,Vacant / under construction,,,,,,
home,jubilee-home-elite,0,8693039.0,9800,6,45000,0.012852,punjab,Apartment,Vacant / under construction,,,,,,
