id,claim_type,policy_category,city,city_region,estimated_amount_pkr,description_length,days_incident_to_submit,amount_to_premium_ratio,user_claims_7d,user_claims_30d,user_rejected_claims,status,high_risk
0,theft,home,mardan,kpk,11703,45,3,1.1133,1,1,0,approved,0
1,accident,auto,mardan,kpk,46455,44,14,2.0379,2,2,2,rejected,1
2,pet_care,pet,multan,punjab,5911,64,11,0.4718,1,7,0,approved,0
3,auto,auto,sukkur,sindh,75882,64,27,6.8325,1,6,0,submitted,0
4,theft,home,islamabad,islamabad,13097,64,26,2.7234,0,2,0,in_review,0
5,theft,home,sukkur,sindh,8176,53,29,0.8587,1,7,1,in_review,1
6,home,home,gujranwala,punjab,80887,58,20,22.0521,0,5,0,approved,0
7,pet,pet,mardan,kpk,9164,53,11,0.4437,4,5,2,rejected,1
8,theft,home,abbottabad,kpk,37687,61,2,5.5899,0,3,0,submitted,0
9,accident,auto,abbottabad,kpk,119963,45,10,6.2824,0,1,0,submitted,0
10,pet_care,pet,sukkur,sindh,21783,53,20,4.3688,0,6,0,in_review,0
11,accident,life,hyderabad,sindh,13575,44,26,6.3494,0,1,1,approved,0
12,life,life,quetta,balochistan,98426,56,15,5.1926,0,6,0,in_review,0
13,medical,auto,karachi,sindh,81783,58,16,3.4788,0,1,0,in_review,1
14,other,auto,lahore,punjab,30976,64,2,8.0962,2,2,1,approved,0
15,pet,pet,mardan,kpk,12132,61,15,0.6003,0,0,0,approved,0
16,accident,auto,lahore,punjab,129639,53,3,8.8232,0,4,0,approved,0
17,medical,life,hyderabad,sindh,9093,64,17,0.4655,3,9,3,rejected,1
18,medical,auto,lahore,punjab,10108,44,14,1.4662,0,5,3,in_review,1
19,damage,home,gujranwala,punjab,30631,64,1,3.5481,1,5,2,rejected,1
20,pet,pet,islamabad,islamabad,20427,53,30,2.6917,1,1,0,approved,0
21,pet,pet,gujranwala,punjab,14111,61,8,1.7223,0,5,0,submitted,0
22,theft,home,hyderabad,sindh,8177,56,8,0.3742,3,3,3,rejected,1
23,pet,pet,peshawar,kpk,11964,44,17,0.5218,3,3,3,rejected,1
24,theft,home,gujranwala,punjab,30986,44,6,2.8873,0,2,2,rejected,1
25,auto,auto,lahore,punjab,21376,56,8,13.2277,1,5,1,approved,0
26,damage,home,islamabad,islamabad,27803,64,4,2.0446,0,6,3,approved,0
27,medical,life,sialkot,punjab,147135,56,19,7.4138,3,4,3,in_review,1
28,auto,auto,rawalpindi,punjab,47879,53,21,3.8659,0,6,1,approved,0
29,life,life,multan,punjab,15286,53,27,0.9218,0,5,0,submitted,0
30,pet_care,pet,abbottabad,kpk,23496,44,3,1.2916,0,2,0,approved,0
31,home,home,peshawar,kpk,29904,53,25,1.6379,0,0,2,in_review,1
32,theft,auto,sukkur,sindh,25878,44,22,2.2243,1,2,0,approved,0
33,damage,auto,karachi,sindh,47001,61,6,2.416,1,5,0,approved,0
34,medical,auto,quetta,balochistan,76301,64,21,10.8075,0,6,0,submitted,0
35,damage,home,lahore,punjab,47888,53,28,5.0287,1,4,0,approved,0
36,accident,auto,quetta,balochistan,5000,58,22,0.324,0,1,2,rejected,1
37,life,life,quetta,balochistan,115151,61,16,7.196,2,6,0,submitted,0
38,life,life,quetta,balochistan,128853,58,24,13.4208,1,3,0,approved,0
39,home,home,sukkur,sindh,18288,56,22,4.4174,1,1,0,approved,0
40,accident,auto,islamabad,islamabad,16030,64,30,1.05,2,8,1,in_review,0
41,pet_care,pet,islamabad,islamabad,14194,53,25,0.932,0,2,0,rejected,1
42,auto,auto,islamabad,islamabad,41784,64,18,2.4849,0,3,0,approved,0
43,auto,auto,multan,punjab,11261,44,12,0.6867,1,7,0,approved,0
44,pet,pet,sialkot,punjab,22168,64,20,2.5057,1,2,0,rejected,1
45,damage,auto,abbottabad,kpk,27235,44,22,5.1896,1,2,0,submitted,0
46,damage,auto,faisalabad,punjab,9451,61,21,0.4619,0,5,0,submitted,0
47,medical,life,mardan,kpk,209714,64,8,18.4251,0,3,0,in_review,1
48,accident,life,islamabad,islamabad,82325,56,22,4.6877,0,5,0,approved,0
49,pet,pet,hyderabad,sindh,24902,53,10,1.5789,2,2,0,submitted,0
50,other,others,abbottabad,kpk,13366,56,10,0.9603,0,2,1,submitted,0
51,pet_care,pet,sukkur,sindh,11468,58,22,1.4778,1,4,0,rejected,1
52,auto,auto,gujranwala,punjab,32400,64,16,1.3932,0,5,0,approved,0
53,pet_care,pet,multan,punjab,17335,56,23,3.179,0,5,0,in_review,0
54,pet,pet,faisalabad,punjab,7878,64,9,1.0023,1,2,0,approved,0
55,damage,auto,faisalabad,punjab,29483,64,14,15.5092,0,0,0,approved,0
56,theft,auto,hyderabad,sindh,25801,56,4,6.5702,2,4,0,approved,0
57,auto,auto,quetta,balochistan,5596,61,9,0.3005,0,4,0,approved,0
58,medical,life,gujranwala,punjab,23139,45,17,1.0,0,3,0,approved,0
59,medical,auto,mardan,kpk,96186,53,21,8.9359,3,9,3,in_review,1
60,medical,auto,faisalabad,punjab,32883,56,8,1.6999,0,1,1,submitted,0
61,pet_care,pet,faisalabad,punjab,24359,44,30,1.445,0,3,0,submitted,0
62,home,home,lahore,punjab,10789,64,27,2.4018,4,9,3,in_review,1
63,damage,auto,sukkur,sindh,21810,61,18,0.9546,1,4,3,rejected,1
64,home,home,islamabad,islamabad,16152,61,9,2.3862,2,6,0,approved,0
65,theft,auto,islamabad,islamabad,49074,53,1,2.6726,0,4,1,submitted,0
66,medical,auto,sukkur,sindh,175462,58,22,30.2886,0,5,0,approved,0
67,pet,pet,sukkur,sindh,24081,56,3,1.6195,0,5,0,approved,0
68,life,life,multan,punjab,68565,56,29,4.1638,2,4,2,rejected,1
69,pet,pet,islamabad,islamabad,7953,58,18,5.0208,2,5,1,approved,0
70,pet,pet,hyderabad,sindh,7074,61,27,0.5873,0,5,0,approved,0
71,damage,auto,lahore,punjab,24530,45,27,4.3524,2,5,0,approved,0
72,damage,auto,islamabad,islamabad,41179,61,19,1.7939,1,7,0,approved,0
73,home,home,islamabad,islamabad,407920,45,12,21.2149,0,0,1,approved,0
74,damage,auto,lahore,punjab,18856,64,11,6.2707,0,1,0,submitted,0
75,damage,home,faisalabad,punjab,92810,58,7,4.3226,2,3,0,approved,0
76,accident,life,gujranwala,punjab,31721,64,30,1.3383,4,6,2,rejected,1
77,pet_care,pet,karachi,sindh,5949,44,11,0.3432,4,6,0,rejected,1
78,accident,auto,peshawar,kpk,47137,64,25,2.6517,0,1,0,submitted,0
79,damage,home,abbottabad,kpk,8881,45,4,0.3916,2,4,1,approved,0
80,pet,pet,sukkur,sindh,5000,44,15,0.2787,1,3,1,approved,0
81,medical,auto,islamabad,islamabad,20129,44,0,1.0186,0,3,0,approved,0
82,auto,auto,faisalabad,punjab,77036,53,29,3.2624,1,6,1,approved,0
83,auto,auto,rawalpindi,punjab,58126,45,15,19.4727,0,4,0,approved,0
84,pet,pet,peshawar,kpk,34531,58,26,5.2615,1,3,0,approved,0
85,medical,auto,faisalabad,punjab,6743,64,20,0.2813,0,2,0,submitted,0
86,life,life,abbottabad,kpk,106219,64,0,12.5703,1,2,3,rejected,1
87,pet,pet,peshawar,kpk,16649,56,24,1.9413,1,5,0,approved,0
88,damage,auto,quetta,balochistan,11076,53,25,1.5347,1,1,0,in_review,1
89,pet,pet,mardan,kpk,9797,45,16,2.7351,0,1,2,submitted,0
90,pet,pet,hyderabad,sindh,10549,45,21,0.4672,0,3,0,approved,0
91,theft,home,gujranwala,punjab,27713,61,10,1.2621,4,8,1,rejected,1
92,theft,home,karachi,sindh,47354,58,26,2.9059,0,5,0,approved,0
93,home,home,abbottabad,kpk,230941,64,22,13.5529,1,5,0,approved,0
94,auto,auto,gujranwala,punjab,20925,53,16,0.9882,0,3,0,submitted,0
95,home,home,quetta,balochistan,63608,64,27,5.9849,1,6,1,approved,0
96,pet_care,pet,sialkot,punjab,7985,61,21,4.6971,0,5,0,in_review,1
97,medical,auto,karachi,sindh,36682,64,23,2.2415,1,5,0,approved,0
98,other,home,abbottabad,kpk,7778,58,15,1.8639,0,1,1,approved,0
99,pet_care,pet,sukkur,sindh,9190,64,19,0.3934,0,2,2,in_review,1
100,pet_care,pet,faisalabad,punjab,12026,61,4,6.8602,0,1,0,submitted,0
101,theft,auto,islamabad,islamabad,15181,64,2,5.2602,1,5,0,approved,0
102,auto,auto,sialkot,punjab,69394,64,26,9.7313,0,6,0,approved,0
103,theft,auto,islamabad,islamabad,28579,56,24,2.4496,0,5,0,in_review,0
