id,signal_type,fraud_category,severity,severity_encoded,account_age_days,related_entity_count,fraudulent
0,other,commerce,critical,4,419,10,1
1,unverified_provider,account,low,1,776,4,1
2,pending_purchases,catalog,medium,2,565,21,0
3,other,account,low,1,317,7,1
4,duplicate_email,claims,critical,4,297,21,1
5,claim_burst,account,high,3,462,11,1
6,claim_burst,claims,high,3,65,26,0
7,rejected_claims_volume,claims,high,3,796,18,1
8,pending_purchases,catalog,medium,2,185,30,1
9,claim_burst,account,high,3,728,22,1
10,duplicate_email,account,high,3,565,12,1
11,duplicate_email,catalog,high,3,783,25,1
12,rejected_claims_volume,commerce,high,3,206,22,0
13,other,account,critical,4,482,10,0
14,lead_spike,commerce,critical,4,655,17,1
15,duplicate_email,commerce,high,3,29,11,1
16,lead_spike,claims,medium,2,254,20,1
17,unverified_provider,catalog,critical,4,412,25,1
18,stale_pending_policies,claims,high,3,724,21,1
19,other,catalog,medium,2,85,3,0
20,duplicate_email,claims,critical,4,187,16,1
21,claim_burst,claims,high,3,580,18,1
22,inactive_spike,account,critical,4,125,20,1
23,duplicate_email,catalog,low,1,214,22,1
24,lead_spike,commerce,medium,2,303,25,1
25,lead_spike,commerce,low,1,42,20,1
26,other,commerce,high,3,178,11,1
27,lead_spike,catalog,medium,2,148,11,1
28,pending_purchases,commerce,high,3,233,14,1
29,inactive_spike,commerce,low,1,567,8,0
30,pending_purchases,account,medium,2,104,13,1
31,rejected_claims_volume,claims,critical,4,338,28,1
32,stale_pending_policies,claims,critical,4,758,15,1
33,rejected_claims_volume,catalog,low,1,29,16,1
34,pending_purchases,claims,critical,4,458,19,1
35,unverified_provider,commerce,low,1,49,4,0
36,stale_pending_policies,catalog,low,1,491,18,1
37,stale_pending_policies,account,low,1,776,16,1
38,rejected_claims_volume,claims,medium,2,809,28,1
39,lead_spike,catalog,high,3,87,13,1
40,duplicate_email,claims,high,3,477,28,1
41,stale_pending_policies,catalog,high,3,160,25,1
42,duplicate_email,account,critical,4,417,24,1
43,rejected_claims_volume,claims,critical,4,846,14,0
44,claim_burst,claims,medium,2,601,18,1
45,reject_rate,catalog,low,1,758,9,0
46,reject_rate,catalog,medium,2,545,6,0
47,stale_pending_policies,account,medium,2,360,16,1
48,unverified_provider,claims,low,1,570,1,0
49,reject_rate,catalog,low,1,574,4,0
50,duplicate_email,commerce,low,1,163,8,1
51,inactive_spike,account,medium,2,476,11,0
52,stale_pending_policies,catalog,medium,2,716,12,1
53,reject_rate,commerce,medium,2,680,6,0
54,lead_spike,catalog,low,1,247,21,0
55,lead_spike,commerce,critical,4,27,30,1
56,inactive_spike,commerce,medium,2,856,7,0
57,inactive_spike,account,critical,4,29,29,1
58,pending_purchases,claims,critical,4,414,18,1
59,rejected_claims_volume,commerce,high,3,4,25,1
60,inactive_spike,account,high,3,227,10,1
61,other,claims,low,1,87,5,0
62,claim_burst,claims,medium,2,433,29,1
63,pending_purchases,commerce,high,3,231,23,1
64,unverified_provider,account,medium,2,144,2,0
65,rejected_claims_volume,account,critical,4,15,15,0
66,inactive_spike,account,high,3,893,21,1
67,lead_spike,commerce,low,1,500,11,1
68,duplicate_email,commerce,medium,2,78,17,1
69,claim_burst,claims,high,3,183,16,1
70,other,account,low,1,3,12,1
71,rejected_claims_volume,claims,medium,2,458,11,0
72,stale_pending_policies,catalog,critical,4,519,17,1
73,claim_burst,claims,critical,4,724,28,1
74,other,commerce,medium,2,3,11,0
75,pending_purchases,commerce,low,1,439,20,1
76,lead_spike,commerce,high,3,8,13,1
77,duplicate_email,catalog,high,3,337,25,1
78,other,account,high,3,46,13,0
79,unverified_provider,catalog,high,3,515,28,1
80,duplicate_email,account,critical,4,25,26,0
81,unverified_provider,account,medium,2,15,9,0
82,pending_purchases,claims,high,3,611,20,1
83,inactive_spike,catalog,medium,2,45,17,1
84,reject_rate,catalog,medium,2,537,16,1
85,stale_pending_policies,account,medium,2,15,4,0
86,other,commerce,critical,4,674,25,0
87,rejected_claims_volume,account,high,3,196,8,1
88,pending_purchases,account,high,3,259,29,1
89,claim_burst,catalog,low,1,272,15,1
90,claim_burst,claims,high,3,472,23,1
91,inactive_spike,account,high,3,579,27,1
92,unverified_provider,claims,medium,2,340,5,0
93,lead_spike,commerce,medium,2,186,23,1
94,pending_purchases,account,high,3,71,24,1
95,lead_spike,catalog,medium,2,563,14,1
96,reject_rate,account,low,1,70,5,0
97,other,catalog,critical,4,215,14,0
98,duplicate_email,account,high,3,835,12,1
99,reject_rate,commerce,high,3,50,23,1
100,duplicate_email,claims,high,3,462,20,1
101,claim_burst,claims,high,3,124,18,0
102,stale_pending_policies,commerce,low,1,818,7,0
103,claim_burst,commerce,low,1,120,26,0
104,reject_rate,catalog,low,1,288,5,1
105,lead_spike,commerce,medium,2,861,21,1
106,lead_spike,claims,critical,4,439,8,1
107,reject_rate,catalog,medium,2,737,5,1
108,lead_spike,catalog,critical,4,660,17,1
109,inactive_spike,claims,critical,4,352,17,1
110,pending_purchases,commerce,medium,2,187,29,1
111,pending_purchases,claims,low,1,513,23,1
112,reject_rate,catalog,critical,4,438,12,1
113,unverified_provider,claims,high,3,570,10,1
114,claim_burst,commerce,high,3,745,21,1
115,claim_burst,claims,medium,2,64,23,1
116,unverified_provider,commerce,medium,2,16,4,0
117,lead_spike,catalog,medium,2,834,8,1
118,stale_pending_policies,catalog,critical,4,602,23,0
119,other,catalog,critical,4,460,15,1
120,inactive_spike,claims,low,1,846,15,1
121,unverified_provider,catalog,low,1,2,3,0
122,rejected_claims_volume,account,medium,2,23,16,1
123,stale_pending_policies,catalog,low,1,102,5,0
124,claim_burst,claims,medium,2,616,8,0
125,other,commerce,high,3,844,28,1
126,rejected_claims_volume,claims,medium,2,253,8,0
127,duplicate_email,commerce,medium,2,742,28,1
128,claim_burst,commerce,high,3,106,23,0
129,lead_spike,commerce,high,3,124,8,1
130,unverified_provider,account,medium,2,78,4,0
131,claim_burst,claims,critical,4,112,27,1
132,reject_rate,claims,critical,4,428,29,0
133,reject_rate,claims,low,1,219,4,0
134,claim_burst,claims,high,3,189,20,1
135,lead_spike,commerce,critical,4,806,18,1
136,duplicate_email,catalog,high,3,388,19,1
137,inactive_spike,catalog,low,1,81,8,0
138,other,catalog,low,1,575,4,0
139,stale_pending_policies,commerce,critical,4,16,30,1
140,pending_purchases,commerce,high,3,82,23,0
141,claim_burst,catalog,high,3,415,9,1
142,duplicate_email,catalog,critical,4,264,14,1
143,pending_purchases,commerce,medium,2,837,9,0
144,reject_rate,commerce,high,3,1,27,1
145,duplicate_email,account,medium,2,178,22,1
146,reject_rate,catalog,critical,4,835,23,1
147,inactive_spike,catalog,high,3,843,30,1
148,claim_burst,claims,medium,2,371,27,0
149,claim_burst,claims,medium,2,418,10,1
150,stale_pending_policies,catalog,high,3,165,21,1
151,unverified_provider,account,low,1,42,7,0
152,inactive_spike,catalog,medium,2,427,11,0
153,lead_spike,claims,critical,4,681,11,1
154,rejected_claims_volume,commerce,high,3,108,16,1
155,inactive_spike,claims,medium,2,158,8,0
156,claim_burst,claims,high,3,252,24,1
157,rejected_claims_volume,account,critical,4,18,23,1
158,stale_pending_policies,claims,high,3,42,17,1
159,unverified_provider,account,medium,2,804,6,0
160,rejected_claims_volume,claims,medium,2,797,29,1
161,rejected_claims_volume,account,high,3,92,9,1
162,duplicate_email,claims,critical,4,40,27,1
163,stale_pending_policies,claims,high,3,419,29,1
164,unverified_provider,commerce,low,1,618,9,0
165,unverified_provider,catalog,critical,4,680,25,1
166,rejected_claims_volume,account,high,3,64,17,1
167,other,catalog,high,3,764,26,1
168,pending_purchases,catalog,critical,4,822,19,1
169,reject_rate,catalog,medium,2,7,10,0
